86,	bigcrush,	sstring__LongestHeadRun,	86,	None,		15000000000
87,	bigcrush,	sstring__LongestHeadRun,	87,	None,		15000000000
88,	bigcrush,	sstring__PeriodsInStrings,	88,	None,		22000000000
89,	bigcrush,	sstring__PeriodsInStrings,	89,	None,		22000000000
90,	bigcrush,	sstring__HammingWeight2,	90,	None,		15000000000
91,	bigcrush,	sstring__HammingWeight2,	91,	None,		15000000000
92,	bigcrush,	sstring__HammingCorr,		92,	None,		14000000000
93,	bigcrush,	sstring__HammingCorr,		93,	None,		14000000000
94,	bigcrush,	sstring__HammingCorr,		94,	None,		50000000000
95,	bigcrush,	sstring__HammingIndep,		95,	None,		26000000000
96,	bigcrush,	sstring__HammingIndep,		96,	None,		26000000000
97,	bigcrush,	sstring__HammingIndep,		97,	None,		20000000000
98,	bigcrush,	sstring__HammingIndep,		98,	None,		20000000000
99,	bigcrush,	sstring__HammingIndep,		99,	None,		21000000000
100,	bigcrush,	sstring__HammingIndep,		100,	None,		21000000000
101,	bigcrush,	sstring__Run,			101,	None,		12000000000
102,	bigcrush,	sstring__Run,			102,	None,		12000000000
103,	bigcrush,	sstring__AutoCor,		103,	None,		15000000000
104,	bigcrush,	sstring__AutoCor,		104,	None,		15000000000
105,	bigcrush,	sstring__AutoCor,		105,	None,		15000000000
106,	bigcrush,	sstring__AutoCor,		106,	None,		15000000000
1,	nist,		Frequency,			1,	None,		25000000
2,	nist,		BlockFrequency,			2,	None,		25000000
3,	nist,		Runs,				3,	None,		25000000
4,	nist,		LongestRun,			4,	None,		25000000
5,	nist,		Rank,				5,	None,		25000000
6,	nist,		FFT,				6,	None,		25000000
7,	nist,		NonOverlappingTemplate,		7,	None,		25000000
8,	nist,		OverlappingTemplate,		8,	None,		25000000
9,	nist,		Universal,			9,	None,		25000000
10,	nist,		LinearComplexity,		10,	None,		25000000
11,	nist,		Serial,				11,	None,		25000000
12,	nist,		ApproximateEntropy,		12,	None,		25000000
13,	nist,		CumulativeSums,			13,	None,		25000000
14,	nist,		RandomExcursions,		14,	None,		25000000
15,	nist,		RandomExcursionsVariant,	15,	None,		25000000
